id,titulo,autores,anio,doi,publicacion,tipo_publicacion,eje,tecnica,dominio_datos,aporte,limitacion,relevancia_tesis,estado_verificacion,fuente_verificacion
C0003,Application of machine learning approaches in supporting irrigation decision making: A review,Lisa Umutoni; Vidya Samadi,2024,10.1016/j.agwat.2024.108710,Agricultural Water Management,artículo de revista,1,Revisión de ML,16 estudios de riego,Sintetiza brechas de adopción de ML en riego,No cuantifica incertidumbre,Marco conceptual para HU4,verificado,Crossref (título/autores/año/revista coinciden exactamente)
C0019,"Soil Moisture Prediction Using Remote Sensing and Machine Learning Algorithms: A Review on Progress, Challenges, and Opportunities",Manoj Lamichhane; Sushant Mehan; Kyle R. Mankin,2025,10.3390/rs17142397,Remote Sensing,artículo de revista,1,Revisión ML/RS,144 artículos,RF/SVR/ANN comparados para predicción de humedad de suelo,No agrícola hortícola específico,Justifica elección de modelos para HU4,verificado,Crossref (título/autores/año/revista coinciden exactamente)
C0017,Precision Agriculture: Improving Water Stress Forecasting in Tomato Plants Using Bioristor Data and Advanced ML Techniques,Archanaa. N; Rithani M,2024,10.1109/incowoco64194.2024.10863624,2024 First International Conference for Women in Computing (InCoWoCo),congreso,1;3,RNN/LSTM/Bi-GRU/ARIMA,Tomate; sensor bioristor,Forecasting 1-24h de estrés hídrico con clasificación 2/4 estados,Sensor no estándar difícil de replicar,Antecedente directo de predicción con horizonte temporal,verificado,Crossref (título/año/venue coinciden; autores con nombres abreviados en el proceeding original)
C0021,Transferable field-scale daily soil moisture forecasting in cotton with a minimal-input LSTM for irrigation scheduling,Qiong Su; Yun Lin; Glen C. Rains; Javad Mohammadpour Velni,2026,10.1016/j.atech.2026.102178,Smart Agricultural Technology,artículo de revista,1,LSTM minimal-input + transfer learning,Algodón; datos de campo 2 temporadas,Forecasting con pocas variables transferible entre temporadas,R² cae en transferencia (0.56),Directamente relevante a escasez/generalización temporal,verificado,Crossref (título/autores/año/revista coinciden exactamente)
C0014,Machine learning approaches for soil moisture prediction: enhancing agricultural water management with integrated data,Aram Ali,2026,10.1007/s40808-025-02607-5,Modeling Earth Systems and Environment,artículo de revista,1,RF/XGBoost/SVR/GPR,Clima+suelo+LAI integrados,Robusto con solo datos climáticos (NSE>0.75) en condiciones de escasez,Solo dos profundidades de suelo,Antecedente de robustez bajo escasez de datos,verificado,Crossref (título/autores/año/revista coinciden exactamente)
C0009,Evaluation of Machine Learning Models for Water Stress Detection Using Stem Impedance,Federico Cum; Stefano Calvo; Alessandro Sanginario; Umberto Garlando,2024,10.1109/tafe.2024.3457156,IEEE Transactions on AgriFood Electronics,artículo de revista,1,Comparación ML + impedancia de tallo,Sensor novedoso in planta,Parámetro directo de la planta mejora el desempeño de los modelos,Sensor invasivo/experimental,Diversifica antecedentes de sensado directo en planta,verificado,Crossref (título/año/revista coinciden; nombres de autores completados desde forma abreviada)
C0027,"A methodological proposal for quality control of the soil moisture variable, measured in Colombian automatic agrometeorological stations",Francisco Javier Hernández Guzmán; José Alejandro Cleves-Leguízamo; Eliecer David Diaz Almanza,2022,10.15446/rfnam.v75n3.99145,Revista Facultad Nacional de Agronomía Medellín,artículo de revista,2,Reglas de rango/espectro (sin ML),105 estaciones agrometeorológicas; Colombia 2001-2020,Metodología de flags de calidad real y escalable para humedad de suelo,No usa ML,Antecedente directo de control de calidad de datos (HU3),verificado,Crossref (título/autores/año/revista coinciden exactamente)
C0034,Anomaly detection in smart agriculture systems,C. Catalano; L. Paiano; F. Calabrese; M. Cataldo; L. Mancarella; F. Tommasi,2022,10.1016/j.compind.2022.103750,Computers in Industry,artículo de revista,2,Arquitectura multicapa MLR + LSTM,Sistema agrícola inteligente real (Apulia Italia),Sistema de detección de anomalías end-to-end validado con datos reales de campo,Un solo sitio de despliegue,Antecedente directo de arquitectura de detección de anomalías agrícola,verificado,Crossref (título/autores/año/revista coinciden exactamente); reemplaza a C0031 (descartada por no poder verificarse - ver informe)
C0032,Anomaly Detection for Smart Soil Sensors: A Comparative Analysis of Statistical and Machine Learning Methods,S. Alperen Celtek; A. Ozgur Polat; Seda Kul,2025,10.1109/summa68668.2025.11302370,"2025 7th International Conference on Control Systems, Mathematical Modeling, Automation and Energy Efficiency (SUMMA)",congreso,2,Z-score/IQR vs Isolation Forest/One-Class SVM/LOF,Suelo (temperatura/humedad); caña de azúcar Paraguay,ML supera a métodos estadísticos en anomalías complejas,Estudio piloto de un solo dataset,Comparación directa aplicable al diseño de HU3,verificado,Crossref (título/autores/año/venue coinciden exactamente)
C0044,"Machine Learning-Assisted, Process-Based Quality Control for Detecting Compromised Environmental Sensors",Jacquelyn Q. Schmidt; Branko Kerkez,2023,10.1021/acs.est.3c00360,Environmental Science & Technology,artículo de revista,2,SVM en espacio de features dinámico,136 sensores ambientales de bajo costo,Detecta sensores defectuosos sin asumir perfil de ruido gaussiano,No agrícola específico (transferible),Técnica transferible y robusta para HU3,verificado,Crossref (título/autores/año/revista coinciden exactamente)
C0049,Smart Irrigation and Anomaly Detection using Soil Moisture Sensors,Mahak Khan; Sunita Varma; Jyoti Tiwari,2025,10.1109/icih67754.2025.11608676,2025 IEEE International Conference on Innovate for Humanitarian: Tech Solutions for Global Challenge (ICIH),congreso,2,ML + reglas para detección de fugas,Riego automatizado (India),Integra riego automático con detección de fallas de sensor,Prototipo de bajo costo validación limitada,Antecedente de integración HU3+HU6,verificado,Crossref (título/año/venue coinciden; autores completados desde forma abreviada)
C0111,ASDGM: Agriculture Framework for Crops Data Generation and Recommendation,Eman Hossny; Abdelrahman A. Awad; Fatma A. Omara,2026,10.1109/3scea68071.2026.11603000,2026 IEEE International Conference on Smart Sustainable Systems for Computer and Engineering Applications (3SCEA),congreso,3,GAN (WCGAN-GP/CTGAN/CTAB-GAN+)/TabDDPM/TVAE tabular,Datos tabulares de recomendación de cultivos,Compara 5 generadores tabulares sobre datos agrícolas reales,Dataset de recomendación no es serie temporal,Referencia central metodológica del eje 3,verificado,Crossref (título/autores/año/venue coinciden exactamente)
C0318,Synthetic Climate Data Generation Using Generative Adversarial Networks for Drought Modelling in Southern Africa,Jimmy Katambo; Lars Ribbe; Victor Kongo,2025,10.1109/etncc66224.2025.11299720,2025 International Conference on Emerging Trends in Networks and Computer Communications (ETNCC),congreso,3,GAN,Humedad de suelo y radiación solar; Sudáfrica,Reconstruye 50 años de datos combinando observaciones reales y sintéticas,Validación downstream limitada a RF,El más cercano al tema exacto de la tesis,verificado,Crossref (título/autores/año/venue coinciden exactamente)
