"PII","DOI","EID","Publication Date","Open Access","Content Depth","Source","Abstract","Methods","Results","Conclusions"
"","https://doi.org/10.1007/s11135-025-02402-5","2-s2.0-105018226759","2026-04","No","Abstract","A novel data healing framework for outlier detection and recovery approach in the internet of agriculture things sensor network","In modern smart agricultural systems enabled by the Internet of Agriculture Things (IoAT), wireless sensor networks (WSNs) are extensively deployed to enable continuous monitoring of crop conditions and environmental parameters. However, sensor data in agricultural WSNs often face quality challenges such as outliers and missing values, arising from hardware limitations, environmental disturbances, or unreliable communication. Such issues can compromise analytical accuracy and hamper effective agricultural decision-making. To address this challenge, we propose a novel two-phase data healing approach tailored for agricultural sensor data. In the first phase, outliers are detected using an entropy-enhanced k-means clustering technique, which effectively isolates abnormal readings by evaluating both similarity and uncertainty in the sensory data matrix. In the second phase, we apply a Maximum A Posteriori (MAP) estimation technique to recover missing data—whether occurring in complete rows, columns, or randomly distributed entries—by leveraging the underlying structural features of the sensory matrix. This framework ensures robust preprocessing of agricultural data before further analysis or decision-making. We validate the effectiveness of the proposed method using real-world agricultural datasets, demonstrating a high recovery accuracy of 99.39%. The results confirm that our method outperforms existing approaches in terms of accuracy and computational efficiency, making it well-suited for practical IoAT applications. While the study primarily targets agriculture, the proposed framework is broadly applicable to other domains, such as environmental monitoring, healthcare, industrial IoT, and finance, where similar data quality issues also arise.","Two-phase data healing framework for agricultural WSN/IoAT sensor data: entropy-enhanced k-means clustering for outlier detection and MAP estimation for missing-data recovery. Validated on real-world agricultural datasets.","The method achieved 99.39% recovery accuracy. It outperformed existing approaches in accuracy and computational efficiency.","The framework provides robust preprocessing for agricultural sensor data and is suitable for practical IoAT applications. The authors note it is also broadly applicable to other domains with similar data-quality issues."
"","https://doi.org/10.1109/ITC-CSCC66376.2025.11137798","2-s2.0-105016379418","2025-01","No","Abstract","Temporal Analysis of Environmental Sensor Data for Agricultural Applications","The precise management of time-dependent environmental data connected to soil moisture alongside temperature and humidity serves as a key component of precision agriculture systems. The research develops an approach to analyze wireless sensor network data obtained across multiple sensors deployed in a smart agriculture testing environment. The dataset was collected over five hours by eight sensor nodes while enriching the information with various environmental conditions specific to irrigation periods. Experimental data were divided into four successive phases that corresponded to different operational periods: pre-watering and immediate post-watering and short-term recovery and stabilization. The analysis system combines matrix-based statistics along with mean and standard deviation methods alongside visualization methods to reveal behavioral patterns with their associated variabilities. The confidence band defined by ±1 presented uncertainty levels in environmental measurement data. The collected sensor data maintained predictable behavior during irrigation by demonstrating both increasingly wet soil and higher humidity and momentary temperature reduction. A multi-part visual design successfully measured the active response patterns throughout all measurement channels. The research adds value to smart farming through its development of a statistical framework which examines sensor temporal patterns. The developed methodology improves environmental decision-making interpretability thereby enabling real-time irrigation control and enhanced resource management.","Wireless sensor network data from eight sensor nodes were collected over 5 hours in a smart agriculture testing environment. The analysis used matrix-based statistics, mean and standard deviation, visualization methods, and four phases: pre-watering, immediate post-watering, short-term recovery, and stabilization.","Sensor data showed predictable irrigation-related behavior: soil became wetter, humidity increased, and temperature briefly decreased. A ±1 confidence band indicated uncertainty levels, and the visual design captured active response patterns across measurement channels.","The framework improves interpretability of environmental decision-making for real-time irrigation control and resource management. No major limitations were stated in the abstract."
"","https://doi.org/10.1109/SUMMA68668.2025.11302370","2-s2.0-105032521678","2025-01","No","Abstract","Anomaly Detection for Smart Soil Sensors: A Comparative Analysis of Statistical and Machine Learning Methods","This work examines artificial intelligence-assisted anomaly detection techniques to improve the dependability of sensor-based data monitoring systems in agricultural production. We looked at a dataset of 15,776 soil temperature and moisture measurements taken in sugarcane fields in Paraguay in 2022 using a variety of statistical and machine learning-based methodologies. We compared statistical methods like Z-score, IQR, and moving average to machine learning methods like Isolation Forest, One-Class SVM, and Local Outlier Factor (LOF). The results show that each method has its own strengths when it comes to finding different kinds of anomalies. Statistical methods are easy to use and don't take up much computer time, but machine learning-based methods did a better job of finding more complicated and irregular deviations. This first study shows that adding AI-based anomaly detection modules to low-power, wireless-enabled smart soil sensor systems could make the data more accurate and cut down on the amount of work that needs to be done in the field. The results are very important for making agriculture more digital and for building decision support systems that use data.","Comparative analysis of statistical and machine learning anomaly detection methods on 15,776 soil temperature and moisture measurements from sugarcane fields in Paraguay (2022). Methods compared included Z-score, IQR, moving average, Isolation Forest, One-Class SVM, and LOF.","Statistical methods were easy to use and computationally inexpensive, while machine learning methods detected more complex and irregular anomalies better. Each method had distinct strengths for different anomaly types.","AI-based anomaly detection modules could improve data accuracy and reduce field work in low-power wireless smart soil sensor systems. The study suggests this supports more digital agriculture and data-driven decision support systems."
"","https://doi.org/10.15446/rfnam.v75n3.99145","2-s2.0-85137825134","2022-09","Yes","Abstract","A methodological proposal for quality control of the soil moisture variable, measured in Colombian automatic agrometeorological stations","Methodological criteria for data quality control with geophysical range and spectrum consistency were evaluated, establishing flags and quality indicators for soil moisture data records, in a range of depths between 10, 30, and 50 cm, from automatic agro-meteorological stations located in the most important agricultural regions of Colombia. Data for analysis were collected from 105 stations of the IDEAM network, in an observation window from 2001-2020. The results showed that 40.3% of the soil moisture data were of good quality, 12.9% were questionable due to spectrum flags, 14.3% were questionable due to geophysical range and 32% were erroneous because the values were not possible and/or missing. The depth closest to the surface had the highest number of quality flags, suggesting that the soil layer has the highest error detection rate associated with soil moisture condition recording; the most common quality flag was C02: “Soil moisture >60% & ≤100%”, detected in 93% of the sensors, and the second most frequent flag was C01: “Soil moisture ≥0% & <3%”. It was concluded that the proposed methodology provides highly satisfactory results in the detection of anomalous soil moisture records, in order to make adjustments to the environmental conditions of Colombia.","Methodological criteria for data quality control using geophysical range and spectrum consistency were evaluated. Soil moisture records from 105 IDEAM stations across Colombian agricultural regions were analyzed for 2001-2020 at 10, 30, and 50 cm depths.","40.3% of soil moisture data were good quality; 12.9% were questionable due to spectrum flags, 14.3% due to geophysical range, and 32% were erroneous. The most common flag was C02 in 93% of sensors, followed by C01.","The proposed methodology was highly satisfactory for detecting anomalous soil moisture records and supporting adjustments to Colombia's environmental conditions. The shallowest depth had the most quality flags, indicating the highest error detection rate."
"","https://doi.org/10.3969/j.issn.1000-6362.2022.03.006","2-s2.0-85170048430","2022-03","No","Abstract","An Outliers Detection Method for Automatic Soil Moisture Observation Data Based on Characteristic Curve","A new outliers detection method for automatic soil moisture observation data based on characteristic curve is proposed. The main and basic idea of this method was feature extraction and the morphological matching between two soil moisture time series, and the detailed operation processes were as follows: firstly, the method took X as the expected checking time series and took Y as the corrected template time series, and also gave the range and elements of these two series. Secondly, the method decomposed series X and Y by empirical mode decomposition (EMD) method to obtain the recomposition series C and Q respectively. In this process, series C was the total accumulation of IMFs of series X and series Q was the total accumulation of IMFs of series Y. Thirdly, the method obtained series C' and Q' by using dynamic time warping (DTW) algorithm which was designed to align series C and Q. Fourthly, the method obtained the variation series D' whose elements were calculated by the variation coefficient between series C' and Q', and then, the method also traversed each element of series D' and marked the elements whose value was greater than threshold as overruns. The threshold was obtained by comprehensive calculating the standard deviation of series X and Y. Finally, the outliers in the checking series X could be found through the mapping relationships between series X and series D'. The example showed that: (1) the method did not need to introduce external factors such as soil physical constants and meteorological conditions, and avoided adding relevant parameters such as high and low boundary and slope in the calculation process. (2) The method used the continuous soil moisture data of the same depth from the same station instead of multi-station data comparison, and had no strict length consistency requirements for series X and series Y, so the calculation was more flexible and applicable. (3) The routine of the method was clear, and all of the input processes and output processes in this method were specific. The method was suitable for computer programming and business operation. The technical route of this method might be provided for other agrometeorological data quality control research.","Proposed outlier detection for automatic soil moisture data using feature extraction and morphological matching between two time series. It decomposed the checking and template series with EMD, aligned them with DTW, then flagged deviations above a threshold based on standard deviation.","The example showed the method detected outliers without external factors such as soil physical constants or meteorological conditions. It used same-station, same-depth continuous data and did not require strict length consistency between series.","The method was clear, flexible, and suitable for computer programming and business operation. The authors suggest its technical route may be useful for other agrometeorological data quality control research."
"","https://doi.org/10.1109/CSPA68262.2026.11517729","2-s2.0-105041290983","2026-01","No","Abstract","A Comparative Study of Machine Learning Models for Real-Time IoT- based Soil Moisture Anomaly Detection","Reliable real-time soil-moisture anomaly detection is critical for precision agriculture, yet performance can be compromised by class imbalance, noisy sensor data, and improper threshold selection. This study presents a controlled benchmarking analysis of seven machine learning models for binary soil-moisture anomaly detection using a publicly available agricultural dataset containing 100, 000 samples. Anomalies were defined using a moisture-band labeling strategy, with the moisture feature excluded from predictors after label construction to prevent target leakage. The evaluated models include Support Vector Machine (RBF), k-Nearest Neighbors, Random Forest, XGBoost, LightGBM, CatBoost, and a deep Multilayer Perceptron. A stratified 70/15/15 train-validation-test split was adopted, with validation-based threshold optimization. Performance was assessed using F1score, MCC, ROC-AUC, PR-AUC, and calibration metrics. Results indicate consistently strong performance across models, with F1-scores near 0.974 and PR-AUC approaching 0.999; LightGBM achieved the highest F1, while the Multilayer Perceptron and SVM demonstrated superior calibration. Limitations include reliance on a rule-based labeling scheme and evaluation on a single dataset, which may restrict generalizability.","Controlled benchmarking study of seven ML models for binary soil-moisture anomaly detection on a public dataset of 100,000 samples. Used a stratified 70/15/15 train-validation-test split, validation-based threshold optimization, and metrics including F1, MCC, ROC-AUC, PR-AUC, and calibration.","Models showed strong performance, with F1-scores near 0.974 and PR-AUC approaching 0.999. LightGBM had the highest F1, while the Multilayer Perceptron and SVM had superior calibration.","The models performed well for real-time anomaly detection, but the rule-based labeling scheme and use of a single dataset may limit generalizability."
"","https://doi.org/10.1021/acs.est.3c00360","2-s2.0-85169026027","2023-11","No","Abstract","Machine Learning-Assisted, Process-Based Quality Control for Detecting Compromised Environmental Sensors","Machine learning (ML) techniques promise to revolutionize environmental research and management, but collecting the necessary volumes of high-quality data remains challenging. Environmental sensors are often deployed under harsh conditions, requiring labor-intensive quality assurance and control (QAQC) processes. The need for manual QAQC is a major impediment to the scalability of these sensor networks. Existing techniques for automated QAQC make strong assumptions about noise profiles in the data they filter that do not necessarily hold for broadly deployed environmental sensors, however. Toward the goal of increasing the volume of high-quality environmental data, we introduce an ML-assisted QAQC methodology that is robust to low signal-to-noise ratio data. Our approach embeds sensor measurements into a dynamical feature space and trains a binary classification algorithm (Support Vector Machine) to detect deviation from expected process dynamics, indicating whether a sensor has become compromised and requires maintenance. This strategy enables the automated detection of a wide variety of nonphysical signals. We apply the methodology to three novel data sets produced by 136 low-cost environmental sensors (stream level, drinking water pH, and drinking water electroconductivity), deployed by our group across 250,000 km<sup>2</sup> in Michigan, USA. The proposed methodology achieved accuracy scores of up to 0.97 and consistently outperformed state-of-the-art anomaly detection techniques.","ML-assisted QAQC method embeds sensor measurements into a dynamical feature space and uses a binary support vector machine to detect deviations from expected process dynamics. Applied to three datasets from 136 low-cost environmental sensors deployed across 250,000 km2 in Michigan, USA.","The methodology achieved accuracy scores up to 0.97 and consistently outperformed state-of-the-art anomaly detection techniques. It enabled automated detection of a wide variety of nonphysical signals.","The approach is robust to low signal-to-noise ratio data and may reduce the need for manual QAQC in environmental sensor networks. It aims to improve scalable detection of compromised sensors, though results are limited to three novel datasets."
"S016816992200816X","https://doi.org/10.1016/j.compag.2022.107508","2-s2.0-85142673658","2023-01","No","Full Text","Interactive soil moisture interface of multi-depth change over time","Estimation of soil moisture throughout a crop root zone (nowcasting) is prone to spatial error, even when the time variable (forecasting) is removed. Measurement at discrete points in the field is now common using multi-depth sensors reporting at high temporal resolution, e.g.; every 15 or 60 min. The agricultural industry standard for data representation is suitable for prescriptive applications such as irrigation scheduling but is inadequate for descriptive applications such as reviewing change through a rainfed growing season. We developed an interactive interface for animating past data and tested it on 61 EnviroPro® capacitance probes for up to 24 months starting mid 2019. Probes were installed in grey vertisol cropping soils of northern NSW, Australia, which contract when dry to produce deep cracks. When static, the interface highlights change in moisture at each level to the present date, with a default value of seven days. The interface shows these values against historical extremes for the installation duration. When animated, the interface enables exploration of soil moisture change over one or more seasons by depth and crop phenology. We believe this descriptive use of data improves understanding of crop-water relations, particularly for dryland crop production systems where management decisions are reliant on longer-term projections.","Interactive R Shiny dashboard developed to visualize soil moisture and temperature over depth and time. Tested on 61 EnviroPro capacitance probes in grey vertisol soils of northern NSW, Australia, using daily API data downloads over up to 24 months.","The interface made infiltration depth, moisture redistribution, root-zone extraction, and cracking patterns easier to see than the industry-standard display. Across two probe clusters, moisture range declined with depth, was larger at Llara than Campey, and the broadest range was on average 80% larger than the narrowest.","The interactive interface provides greater insight into crop-water relations and soil moisture movement than the industry standard static interface. It is better for descriptive exploration than for users who only need irrigation alerts, and some displayed values may still be inaccurate."
"S0166361522001476","https://doi.org/10.1016/j.compind.2022.103750","2-s2.0-85135521248","2022-12","","Full Text","Anomaly detection in smart agriculture systems","This work proposes a new approach for Anomaly Detection in smart agriculture systems. Through the use of multi-sensor systems and Decision Support Systems, it is possible to collect, analyze, and process huge amounts of data on agriculture. This supports the farmer in the decision-making process to optimize the results in terms of quality and quantity, to avoid waste, and to maximize profits. However, the use of IoT and intelligent communication technologies can introduce a number of intentional and unintentional weaknesses and flaws in data and information management. The research proposes an Anomaly Detection System (a multi-layered architecture) to mitigate the infrastructure threats in a pro-active way in the Smart Agriculture domain. The design of the proposed architecture is based on a machine-learning algorithmic approach by a multivariate linear regression (MLR) and a long-term memory neural network algorithm (LSTM). The application of the Anomaly Detection System was done on a real dataset coming from a smart agriculture system located in the Apulia region (Italy).","Proposed anomaly detection prototype using a two-stage machine-learning architecture with MLR and LSTM. Evaluated on the Agri smart-agriculture time-series dataset from Apulia, Italy (5648 records after preprocessing) using train/test splits and MSE/loss metrics.","MLR showed weaker performance, with atmospheric temperature MSE 4.9055 versus 0.8789 for LSTM. LSTM predictions were close to observed values, and the system detected anomalies while reducing false anomalies through thresholding.","The proposed architecture can detect anomalies in smart agriculture and improve system security. The authors note that a larger dataset and more sensors would improve training and detection, and the approach may transfer to other smart ecosystems."
"","https://doi.org/10.3390/s24082453","2-s2.0-85191427734","2024-04","Yes","Abstract","TimeTector: A Twin-Branch Approach for Unsupervised Anomaly Detection in Livestock Sensor Noisy Data (TT-TBAD)","Unsupervised anomaly detection in multivariate time series sensor data is a complex task with diverse applications in different domains such as livestock farming and agriculture (LF&A), the Internet of Things (IoT), and human activity recognition (HAR). Advanced machine learning techniques are necessary to detect multi-sensor time series data anomalies. The primary focus of this research is to develop state-of-the-art machine learning methods for detecting anomalies in multi-sensor data. Time series sensors frequently produce multi-sensor data with anomalies, which makes it difficult to establish standard patterns that can capture spatial and temporal correlations. Our innovative approach enables the accurate identification of normal, abnormal, and noisy patterns, thus minimizing the risk of misinterpreting models when dealing with mixed noisy data during training. This can potentially result in the model deriving incorrect conclusions. To address these challenges, we propose a novel approach called “TimeTector-Twin-Branch Shared LSTM Autoencoder” which incorporates several Multi-Head Attention mechanisms. Additionally, our system now incorporates the Twin-Branch method which facilitates the simultaneous execution of multiple tasks, such as data reconstruction and prediction error, allowing for efficient multi-task learning. We also compare our proposed model to several benchmark anomaly detection models using our dataset, and the results show less error (MSE, MAE, and RMSE) in reconstruction and higher accuracy scores (precision, recall, and F1) against the baseline models, demonstrating that our approach outperforms these existing models.","Novel unsupervised anomaly detection method for multivariate time-series sensor data using a Twin-Branch Shared LSTM Autoencoder with multiple Multi-Head Attention mechanisms. The model was compared against benchmark anomaly detection models on the authors' dataset.","The proposed model showed lower reconstruction error (MSE, MAE, RMSE) and higher precision, recall, and F1 than baseline models. It outperformed existing benchmark anomaly detection methods on the authors' dataset.","TimeTector-Twin-Branch Shared LSTM Autoencoder improves anomaly detection in noisy livestock sensor data and appears to outperform benchmark models. No external validation or broader generalizability limits are described in the abstract."
