"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Generative Adversarial Networks (GANs) for Crop Simulation and Enhancement: Exploring Synthetic Data for Agricultural Research","K. R. Ahmed; S. I. Chowdhury; S. T. Chowdhury","Miyan Research Institute, International University of Business Agriculture and Technology, Dhaka, Bangladesh; AMAYRAH Research and Development, Dhaka, Bangladesh; United International University, Dhaka, Bangladesh","2026 IEEE 2nd International Conference on Quantum Photonics, Artificial Intelligence & Networking (QPAIN)","11 Jun 2026","2026","","","1","6","Real-world data collection in agriculture is not only highly expensive but also faces challenges due to seasonal variations and limited generalization capabilities for capturing unusual disease patterns and environmental changes, as is required for deep learning models. We propose a new GAN-based model aimed at crop simulation and disease data augmentation. A class-conditional Deep Convolutional GAN will be designed to generate high-resolution, biologically plausible crop disease images by jointly learning visual structures and class-specific disease characteristics. The real samples in our dataset will be combined with these generated synthetic samples to increase training for crop disease classification. The multi-class plant dataset available in PlantVillage is used in the experimental scenario, with classes for healthy and diseased crops. Extensive ablation experiments confirm that the classifier's performance can be enhanced by GAN-based training compared to state-of-the-art deep learning architectures such as ResNet50, DenseNet121, EfficientNetB3, and VGG16. The accuracy of the proposed model, ResNet50 + GAN, is about 98.65%. This shows not only higher precision levels but also a higher recall rate with an F1-score computed accordingly. This validates the realism of the synthetic images developed. This is an implication of the usefulness of synthetic data in addressing data scarcity and class imbalance in the domain of intelligent agriculture.","","979-8-3315-4990-9","10.1109/QPAIN69676.2026.11546197","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11546197","Generative Adversarial Networks;Synthetic Data Generation;Crop Disease Classification;Precision Agriculture;Deep Learning;Data Augmentation","Modeling;Crops;Generative adversarial networks;Diseases;Training;Labeling;Equations;Printing;Architecture;Computer architecture","","","","17","IEEE","11 Jun 2026","16-18 April 2026","16-18 April 2026","IEEE","IEEE Conferences"
"Predictive Analytics for Enhancing Crop Yield using Generative Adversarial Networks and its Challenges","U. Bharambe; C. Kakade; C. Narvekar",University of Mumbai; University of Mumbai; University of Mumbai,2024 IEEE India Geoscience and Remote Sensing Symposium (InGARSS),"9 May 2025","2024","","","1","4","In the contemporary landscape of agriculture, predictive analytics has emerged as a pivotal tool for enhancing crop yields. The integration of Generative Adversarial Networks (GANs) into this domain presents a novel approach that promises to significantly improve predictive accuracy. This research delves into the application of GANs for crop yield prediction, highlighting both the potential benefits and inherent challenges. Advanced machine learning approaches provide powerful crop production forecasting solutions, making predictive analytics an increasingly significant tool for enhancing agricultural output. GANs are a unique approach in this subject that generates synthetic data while modelling intricate interactions within agricultural information. This research looks into the use of GANs for crop yield prediction, specifically its capacity to mimic diverse environmental and soil conditions for better yield optimisation. It also highlights major problems in the use of GANs, such as data quality, model stability, and the intrinsic complexity of agricultural systems. The study’s goal is to provide a balanced picture of GANs’ potential and restrictions in predictive agriculture, so helping to build more efficient and sustainable farming practices.","","979-8-3503-9034-6","10.1109/InGARSS61818.2024.10984042","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10984042","Generative Adversarial Network (GAN);t-SNE;Variational Auto-Encoders (VAEs);Gross Cropped Area (gca)","Accuracy;Machine learning;Production;Generative adversarial networks;Data models;Agriculture;Predictive analytics;Forecasting;Crop yield;Synthetic data","","","","12","IEEE","9 May 2025","2-5 Dec. 2024","2-5 Dec. 2024","IEEE","IEEE Conferences"
"Hybrid GAN-Augmented Machine Learning for Crop Yield Prediction in Smart Agriculture","S. Sriram; D. S. Kumar; P. Kumar","Dept of ECE, VNR VJIET, Hyderabad, India; Dept of ECE, VNR VJIET, Hyderabad, India; Dept of ECE, VNR VJIET, Hyderabad, India",2025 7th International Conference on Innovative Data Communication Technologies and Application (ICIDCA),"16 Dec 2025","2025","","","1332","1336","Accurate crop yield prediction is vital for resource-efficient agriculture, yet most models suffer from limited and inconsistent datasets. This paper presents a hybrid framework that integrates real-world agricultural records with synthetic data generated using Conditional Tabular GAN (CTGAN) and a custom GAN architecture to enhance model generalization. Six models—CatBoost, XGBoost, Random Forest, Multilayer Perceptron (MLP), Long Short-Term Memory (LSTM), and Convolutional Neural Network (CNN)—were evaluated across diverse crop–season combinations. Experimental results show that GAN-based augmentation significantly improves accuracy, particularly for deep learning models. CatBoost achieved the lowest Mean Squared Error (MSE) of 0.030897, while Random Forest obtained the highest R2 score of 0.895. A deployment-ready prediction system was developed using the best-performing models, enabling real-time yield inference via an interactive user interface. This approach demonstrates the potential of GAN-augmented AI frameworks for scalable, data-driven decision-making in smart agriculture.","","979-8-3315-1414-3","10.1109/ICIDCA66325.2025.11280535","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11280535","Smart Agriculture;Crop Yield Prediction;GAN;Machine Learning;Deep Learning;Synthetic Data","Deep learning;Accuracy;Predictive models;Generative adversarial networks;Data models;Convolutional neural networks;Random forests;Long short term memory;Crop yield;Synthetic data","","","","10","IEEE","16 Dec 2025","6-8 Oct. 2025","6-8 Oct. 2025","IEEE","IEEE Conferences"
"Addressing Class Imbalance in Crop Disease Classification Through GAN-Based Synthetic Image Augmentation","V. P. Reddy; D. C. V. R. Reddy; D. R. Nuvvusetty","Department of CSE, Gandhi Institute of Engineering and Technology University, Gunupur, Odisha, India; Department of CSE, Gandhi Institute of Engineering and Technology University, Gunupur, Odisha, India; IT Department, Gokaraju Rangaraju Institute of Engineering & Technology, Nizampet, Hyderabad","2025 Third International Conference on Cyber Physical Systems, Power Electronics and Electric Vehicles (ICPEEV)","22 Dec 2025","2025","","","1","6","Imbalanced datasets are a major challenge in the classification of crop diseases, as they often result in inadequate identification of uncommon disease classes. This study presents a new synthetic data augmentation approach based on Conditional Generative Adversarial Networks (cGANs) to address class imbalance in agricultural image datasets. The proposed framework creates biologically authentic images for disease classes that are scarce, which are validated for relevance and quality using statistical similarity measures and expert agronomist feedback. A lightweight convolutional neural network (CNN) augmented with attention mechanisms is trained on the augmented dataset to improve feature learning and model interpretability. Evaluation in the PlantVillage dataset showed a classification performance boost with the new approach, reaching 92% overall accuracy, 0.89 in F1-score for the minority class, and 38 % reduction in training loss compared to traditional approaches. The framework also adds disease-specific attention focus verifications with Grad-CAM visualizations. Results from this study validated the proposed augmentation as effective in increasing the robustness and generalization of crop disease classification systems, especially for rare and underrepresented diseases.","","979-8-3315-8606-5","10.1109/ICPEEV67897.2025.11291466","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11291466","Crop Disease Classification;Generative Adversarial Networks;Synthetic Data Augmentation;Class Imbalance;Attention Mechanism;Conditional GAN;Precision Agriculture;Deep Learning","Training;Precision agriculture;Deep learning;Accuracy;Attention mechanisms;Crops;Generative adversarial networks;Convolutional neural networks;Diseases;Synthetic data","","","","15","IEEE","22 Dec 2025","25-27 Sept. 2025","25-27 Sept. 2025","IEEE","IEEE Conferences"
"Hybrid GAN–Diffusion and Lesion-Aware Generative Models for Crop Disease Classification in Precision Agriculture","P. M. G. Jegathambal; J. Madhavan; K. M. Monica; B. Gayathri; Z. Justin; D. Simon","Department of Computer Science Engineering, Vels Institute of Science, Technology and Advanced Studies (VISTAS), Chennai, India; Department of Electronics and Communication Engineering, Bhoj Reddy Engineering College for Women, Hyderabad, India; School of Computer Science Engineering, Vellore Institute of Technology, Chennai, India; Department of Computer Science, Bishop Heber College Autonomous, Affiliated To Bharathidasan University, Tiruchirapalli, India; Department of English, RMK College of Engineering and Technology, Thiruvallur, India; Department of Manufacturing, Saveetha Institute of Science Technology, Chennai, India",2025 International Conference on Emerging Technologies and Innovation for Sustainability (EmergIN),"30 Mar 2026","2025","","","791","796","Crop diseases are an ongoing threat to global food production, and advancements made in automated diagnosis are limited due to the public image datasets being sparse and disorganized. Applications of Generative Adversarial Networks (GANs) to training set augmentation mostly neglect important lesion characteristics or produce images that focus on idealized laboratory conditions, and therefore, miss capturing conditions in the field. To address this gap, we created a hybrid framework that combines conditional GANs, lesion-aware synthesis, diffusion-based refinement, and Cycle GAN-driven domain adaptation. This framework was validated on Plant Village and the New Plant Disease dataset for tomato late blight and grape Esca. We evaluated image quality using SSIM, FID, and LPIPS metrics. Classification performance was evaluated using CNN and lightweight models, Mobile Net and Efficient Net. The pipeline showed a 7.2% increase in recall and 6.6% increase in F1-score compared to standard augmentation, specifically targeting the under sampled disease class, where augmentation impact was most significant. All figures are reproducible given the five independent iterations per dataset. These were executed on an NVIDIA RTX 3090 (24 GB) GPU, with PyTorch 2.1. The additional computational burden that diffusion refinement entails and the dependence on the quality of segmentation in lesion-aware synthesis do not overshadow the framework’s enhancement in reliability and robustness, nor the fully operational pathway toward edge-ready solutions in precision agriculture.","","979-8-3315-5603-7","10.1109/EmergIN67762.2025.11450654","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11450654","Synthetic image generation;Crop disease classification;Conditional GAN;Diffusion models;Lesion-aware GANs;Domain adaptation;Precision agriculture","Precision agriculture;Training;Adaptation models;Technological innovation;Pipelines;Crops;Generative adversarial networks;Robustness;Sustainable development;Standards","","","","15","IEEE","30 Mar 2026","28-29 Nov. 2025","28-29 Nov. 2025","IEEE","IEEE Conferences"
"Maize Growth and Condition Monitoring with Multisensor Remotely Sensed Time Series","G. Ghazaryan; O. Dubovyk; J. Schreier; V. Graw; J. Schellberg","Center for Remote Sensing of Land Surfaces (ZFL), University of Bonn, Germany; Center for Remote Sensing of Land Surfaces (ZFL), University of Bonn, Germany; Center for Remote Sensing of Land Surfaces (ZFL), University of Bonn, Germany; Center for Remote Sensing of Land Surfaces (ZFL), University of Bonn, Germany; Institute of Crop Science and Resource Conservation (INRES), University of Bonn, Germany",IGARSS 2019 - 2019 IEEE International Geoscience and Remote Sensing Symposium,"14 Nov 2019","2019","","","2818","2821","Crop growth and condition monitoring is important for estimating crop production and supporting agricultural management. We used several remotely sensed datasets for mapping phenometrics and assessing maize condition. For the derivation of phenometrics, MODIS data were integrated with Landsat-8 and Sentinel-2 to create synthetic time series in order to fill the missing values in original data. For crop condition monitoring, indicators were derived based on vegetation index time series and Land Surface Temperature (LST). The synthetic data could estimate the start and the end of the season with 3-12 days deviation. Vegetation indices were sensitive to crop condition during growing seasons with unfavorable hydroclimatic conditions. LST was a useful indicator of drought-induced crop stress with prediction rates over 80%. The developed approach can be further used to assess crop condition on field level in areas vulnerable to extreme events such as droughts.","2153-7003","978-1-5386-9154-0","10.1109/IGARSS.2019.8898224","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8898224","Maize condition;Landsat-8;Sentinel-2 agriculture;crop management","Remote sensing;Agriculture;Earth;Artificial satellites;MODIS;Time series analysis;Vegetation mapping","","1","","19","IEEE","14 Nov 2019","28 July-2 Aug. 2019","28 July-2 Aug. 2019","IEEE","IEEE Conferences"
"Synthetic Climate Data Generation Using Generative Adversarial Networks for Drought Modelling in Southern Africa","J. Katambo; L. Ribbe; V. Kongo","Informatics Namibia University of Science and Technology, Windhoek, Namibia; Spatial Development TH Köln, University of Applied Sciences, Cologne, Germany; Climate Resilience, Global Water Partnership Tanzania, Dar es Salaam, Tanzania",2025 International Conference on Emerging Trends in Networks and Computer Communications (ETNCC),"23 Dec 2025","2025","","","1","8","This study investigates the application of generative adversarial networks (GANs) for generating synthetic climate data to support drought modelling in datascarce regions of Southern Africa. The primary focus was to reconstruct long-term time series of soil moisture and sunshine duration. These variables are crucial for understanding drought dynamics but are often characterised by incomplete records. Soil moisture and sunshine duration data were obtained from online sources. Subsequently, the GAN model was trained on these real-world datasets containing substantial gaps to learn their temporal structures and generate realistic synthetic values for the missing periods. A key contribution of this work is the application of GANs to reconstruct these critical variables, producing a 50-year hybrid dataset (1972-2022) that combines observed and synthetic data. The GAN discriminator achieved an area under the receiver operating characteristic curve score of 0.889. This indicates strong classification capability and aligns with results reported in comparable studies. To evaluate the practical utility of the synthetic data, the hybrid datasets were employed as inputs for random forest and feedforward neural network models for drought prediction. The results demonstrate that integrating these synthetic variables improved drought prediction model accuracy, with some synthetic variables outperforming traditional ones in feature importance rankings. This underscores the potential of GANs to mitigate observational data limitations in climate applications. The study contributes to developing hybrid modelling strategies and highlights the role of generative models in enhancing predictive capabilities in regions with limited observational data.","","979-8-3315-2565-1","10.1109/ETNCC66224.2025.11299720","German Government through the Federal Ministry of Education and Research (BMBF)(grant numbers:01LG2091A); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11299720","prediction;classification;modelling;data augmentation;synthetic data","Computational modeling;Droughts;Soil moisture;Time series analysis;Training data;Africa;Predictive models;Generative adversarial networks;Data models;Synthetic data","","","","34","IEEE","23 Dec 2025","5-7 Aug. 2025","5-7 Aug. 2025","IEEE","IEEE Conferences"
"Detection of Crop Leaf Diseases Using Gl-Cgan Based Data Augmentation","C. Hu; Y. Liu; J. Xiang; Z. Chen","College of Informatics Huazhong Agricultural University, Wuhan, China; College of Informatics Huazhong Agricultural University, Wuhan, China; College of Informatics Huazhong Agricultural University, Wuhan, China; College of Informatics Huazhong Agricultural University, Wuhan, China",2021 International Conference on Machine Learning and Cybernetics (ICMLC),"24 Mar 2022","2021","","","1","5","Diagnosis and identification of crop diseases are of great significance for improving crop quality. The application of computer vision technology based on deep learning models in crop disease identification has incomparable advantages over traditional artificial diagnosis and recognition methods and improves the ability of crop disease monitoring and early prediction. On the other hand, training the models requires a large amount of data, but most of the crop leaf diseases image data are insufficient or unbalanced, which results in a great limitation of performance for various tasks. To solve the data imbalance problem, the application of augmentation methods based on Generative Adversarial Networks(GAN) is proposed. In this paper, we present a data augmentation method using conditional GL-GAN(GL-CGAN) based on adaptive global and local bilevel optimization model(GL-GAN) and Auxiliary Classifier GANs(ACGAN). We first train the model based on the Plant Village dataset and then employ it to the expanded image datasets. By adding the synthetic data the accuracy of the classifier is higher than the models which are trained only on the original dataset","2160-1348","978-1-6654-6608-0","10.1109/ICMLC54886.2021.9737251","National Key R&D Program of China(grant numbers:2018YFC1604000); Fundamental Research Funds for the Central Universities(grant numbers:2662021JC008,2662019TYJ003); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9737251","Leaf diseases detection;Imbalance data;Data enhancement;Generative Adversarial Networks;GL-GAN","Deep learning;Training;Adaptation models;Computational modeling;Crops;Generative adversarial networks;Data models","","2","","33","IEEE","24 Mar 2022","4-5 Dec. 2021","4-5 Dec. 2021","IEEE","IEEE Conferences"
"Advanced Generative Adversarial Network Based Image Augmentation for Agricultural Applications Using Convolutional Neural Networks","P. Bhaskar; G. Himabindu; N. M. Reddy","Department of Computer Science and Engineering, Santhiram Engineering College, Nandyal, Andhra Pradesh; Department of Computer Science and Engineering (AI&ML), Santhiram Engineering College, Nandyal, Andhra Pradesh; Department of Computer Science and Engineering, Rajeev Gandhi Memorial College of Engineering and Technology, Nandyal, Andhra Pradesh",2026 5th International Conference on Sentiment Analysis and Deep Learning (ICSADL),"31 Mar 2026","2026","","","1","5","To improve the efficiency of agricultural output, vision-driven smart agriculture has arisen as a crucial strategy. Though deep learning approaches have many potential applications in agriculture, the high expense and difficulty of picture tagging in varied and unstructured field settings is a big obstacle to their widespread use. We propose an Advanced Generation Adversarial Network and a Convolutional Neural Network, also called to create synthetic agricultural photographs that seem realistic, in order to address this difficulty. Three essential elements of field scenescrops, weeds, and soilwere included into the synthetic visuals. At first, we used Excess Greens and minimal error threshold segmentation to automatically remove weed and crop sections. With the help of the CNN to direct feature learning and guarantee semantic coherence between created and actual pictures, the suggested Advanced GAN was trained using these segmented areas, and it synthesized very varied and realistic variants. The CNNAdvanced GAN framework that was suggested was thoroughly tested on three main computer vision tasks: semantic segmentation, object identification, and picture classification. ResNet, YOLOv5, and DeeplabV3 were among the benchmark models used. Model generalizability and robustness were shown to have significantly improved based on the experimental findings. Accuracy was 0.99 for the classification model, 0.98 for object identification, and 0.96 for semantic segmentation in terms of Intersection over Union. Another benefit of using high-quality synthetic data is that it helped speed up the data set preparation process by decreasing the amount of human annotation effort. In sum, the suggested approach proves that a combination of convolutional neural networks and advanced generative adversarial networks is a powerful tool for agricultural picture augmentation, resulting in enhanced deep learning capabilities in complicated field settings. By using this method, not only is manual labelling made easier, but future smart agricultural applications like automated weed identification, crop monitoring, and precision farming will also be able to scale more easily.","","979-8-3315-6883-2","10.1109/ICSADL67539.2026.11451786","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11451786","Automated Farming;Artificial Intelligence;Advanced Generative Adversarial Network;Deep Learning;Excess Green;Resent;Image Enhancement;Synthetic Images Classification of Images;Object Recognition;Semantic Segmentation using YOLOv5 and DeeplabV3","Deep learning;Training;Accuracy;Computational modeling;Semantic segmentation;Generative adversarial networks;Convolutional neural networks;Object recognition;Diseases;Farming","","1","","8","IEEE","31 Mar 2026","18-20 Feb. 2026","18-20 Feb. 2026","IEEE","IEEE Conferences"
"Time Series Mixup for Crop Segmentation in Domain Adaptation","B. Andrei; A. -A. Dinescu; S. -C. Cândea; C. Florea","Image Processing and Analysis Laboratory, National University of Science and Technology Politehnica, Bucharest, Romania; Image Processing and Analysis Laboratory, National University of Science and Technology Politehnica, Bucharest, Romania; Image Processing and Analysis Laboratory, National University of Science and Technology Politehnica, Bucharest, Romania; Electronics and Computers Dept, Transilvania University of Brasov and National Univ. of Sc. and Tech. Politehnica",2025 International Conference on Machine Intelligence for GeoAnalytics and Remote Sensing (MIGARS),"12 Nov 2025","2025","","","1","4","Scalable crop monitoring from satellite time series requires models that generalize across regions and seasons with limited labeled data. We propose a domain adaptation framework using pixel-set encoders and temporal self-attention to reduce reliance on large annotations. Leveraging the PASTIS dataset and a smaller Romanian dataset, we introduce a mixup strategy to adapt source data and regularize low-resource targets. Experiments show a noticeable improvement over baselines, highlighting the value of targeted augmentation and temporal alignment in low-resource settings. The method promises to support the use of data-intensive models in low-resource agricultural monitoring scenarios.","","979-8-3315-7920-3","10.1109/MIGARS67156.2025.11232009","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11232009","Satellite image time series;Crop classification;Region-adaptive learning;Data augmentation;Remote sensing in agriculture","Training;Adaptation models;Satellites;Time series analysis;Crops;Satellite images;Spatial resolution;Remote sensing;Monitoring;Machine intelligence","","1","","14","IEEE","12 Nov 2025","2-4 Sept. 2025","2-4 Sept. 2025","IEEE","IEEE Conferences"
