id,titulo,eje,base,motivo,resultado_final,motivo_final
C0382,"Sustainable Water Management of Drip‐Irrigated Green Beans: Evaluation of Yield, Irrigation Water Productivity, Soil Moisture and Salinity Dynamics in the Soil by the SALTMED Model Under Organic Soil Mulching and Water Stress",1,crossref,"relevancia ambigua (eje 1), requiere confirmacion humana",EXCLUIR,"eje 1: modelo de simulacion fisico (SALTMED), sin componente de ML/DL - no aporta al eje de modelado predictivo por IA"
C0383,Use of a crop model and soil moisture sensors for estimating soil moisture and irrigation applications in a production soybean field,1,crossref,abstract insuficiente/ausente para confirmar por titulo unicamente,INDETERMINADO,eje 1: sin abstract; titulo no indica si el modelo de cultivo usa IA/ML o es un modelo fisico
C0384,"<scp>SWIB</scp>
                    —An Online Model to Estimate Daily Crop Water Stress, Irrigation Needs, and Soil Water Budget",1,crossref,abstract insuficiente/ausente para confirmar por titulo unicamente,INDETERMINADO,"eje 1: sin abstract; titulo sugiere modelo operativo de balance hidrico, no confirma componente de IA/ML"
C0385,Irrigation and crop water requirement estimation for oil palms using soil moisture balance model in Peninsular Malaysia,1,crossref,"relevancia ambigua (eje 1), requiere confirmacion humana",EXCLUIR,"eje 1: modelo hidrologico determinista (HEC-HMS + balance hidrico), sin componente de ML/DL"
C0387,Predictive Analytics using LoRAWAN Communication and Machine Learning for Real Time Soil Moisture Forecasting and Irrigation Optimization,1,crossref,abstract insuficiente/ausente para confirmar por titulo unicamente,INCLUIR,
C0388,Profiling Crop Water Stress Using Modular Neural Network Classifier for an IoT‐Enabled Crop Irrigation System,1,crossref,abstract insuficiente/ausente para confirmar por titulo unicamente,INCLUIR,
C0412,Machine Learning Applications for Precision Agriculture: A Comprehensive Review,1,openalex,"relevancia ambigua (eje 1), requiere confirmacion humana; abstract insuficiente/ausente para confirmar por titulo unicamente",INCLUIR,
C0413,Machine Learning in Agriculture: A Comprehensive Updated Review,1,openalex,"relevancia ambigua (eje 1), requiere confirmacion humana",INCLUIR,
C0414,Global critical soil moisture thresholds of plant water stress,1,openalex,"relevancia ambigua (eje 1), requiere confirmacion humana",EXCLUIR,"eje 1: mapeo estadistico de umbral fisico via teledetección, no es modelado predictivo mediante IA/ML"
C0416,Precision agriculture using IoT data analytics and machine learning,1,openalex,"relevancia ambigua (eje 1), requiere confirmacion humana; abstract insuficiente/ausente para confirmar por titulo unicamente",INCLUIR,
C0417,Evaluation of artificial intelligence algorithms with sensor data assimilation in estimating crop evapotranspiration and crop water stress index for irrigation water management,1,openalex,abstract insuficiente/ausente para confirmar por titulo unicamente,INCLUIR,
C0418,Soil Moisture Measuring Techniques and Factors Affecting the Moisture Dynamics: A Comprehensive Review,1,openalex,"relevancia ambigua (eje 1), requiere confirmacion humana",EXCLUIR,eje 1: revision de tecnicas de MEDICION de humedad de suelo (no de modelado predictivo)
C0419,Root zone soil moisture estimation with Random Forest,1,openalex,abstract insuficiente/ausente para confirmar por titulo unicamente,INCLUIR,
C0448,Estimating stomatal conductance of citrus orchard based on UAV multi-modal information in Southwest China,1,doaj,"relevancia ambigua (eje 1), requiere confirmacion humana; abstract insuficiente/ausente para confirmar por titulo unicamente",INDETERMINADO,eje 1: sin abstract; titulo no indica metodo (ML vs regresion clasica) para estimar conductancia estomatica
C0449,Predicting plant stress using SAM-L: novel self-adaptive-meta learner with XAI based on soil moisture and chlorophyll analysis,1,doaj,"relevancia ambigua (eje 1), requiere confirmacion humana; abstract insuficiente/ausente para confirmar por titulo unicamente",INCLUIR,
C0029,A task of anomaly detection for a smart satellite Internet of things system,2,ieee,"relevancia ambigua (eje 2), requiere confirmacion humana",INCLUIR,
C0033,Anomaly Detection From Low-Dimensional Latent Manifolds With Home Environmental Sensors,2,ieee,"relevancia ambigua (eje 2), requiere confirmacion humana",INCLUIR,
C0035,Clustering-Aided Classification and Anomaly Detection of Smart Office Patterns Using Environmental Sensor Data,2,ieee,"relevancia ambigua (eje 2), requiere confirmacion humana",INCLUIR,
C0037,Design of an IoT based Monitoring System Utilizing Deep Reinforcement Learning and Ensemble Learning for Precision Agriculture,2,ieee,"relevancia ambigua (eje 2), requiere confirmacion humana",EXCLUIR,"eje 2: aporte central es asignacion de recursos via DRL, sin contenido de deteccion de anomalias"
