"PII","DOI","EID","Publication Date","Open Access","Content Depth","Source","Abstract","Methods","Results","Conclusions"
"","https://doi.org/10.1080/01431161.2024.2368933","2-s2.0-85197677180","2024-01","Yes","Abstract","A systematic review on the application of UAV-based thermal remote sensing for assessing and monitoring crop water status in crop farming systems","The accurate assessment and monitoring of crop water status is a critical component of precision agriculture. Over the recent decade, unmanned aerial vehicles (UAVs) integrated with high-resolution thermal technologies, have pioneered a new era in remote sensing, enabling the acquisition of near-real-time data essential for the efficient management of water resources within crop farming systems. With the application of UAV-based thermal sensors, a diverse array of key biophysical and biochemical indicators that serve as critical proxies for crop water status have been evaluated. Therefore, this study adopted a systematic approach to review the progress, challenges, and opportunities in utilizing UAV thermal remote sensing to assess and map the water status within crop farming systems. In particular, this study sought to explore the current state of the literature and identify existing research gaps by analysing bibliometric data and recent trends in the literature. Based on the findings of this study, it was observed that even though UAV thermal remote sensings hold great potential, there currently exists significant research gaps in their application for assessing and monitoring crop water status, particularly in the global south. Furthermore, the results of this study concluded that the majority of the reviewed literature focused on assessing canopy temperature, potentially resulting in the application of UAV thermal sensors in characterizing other crop water-related indicators remaining relatively underexplored in scientific research. Overall, the findings of the review highlight UAV thermal remote sensing as an innovative tool capable of providing high-resolution, robust, and near-real-time datasets for crop water status assessments, therefore, revolutionizing agricultural farming practices.Therefore, this study serves as a stepping stone towards integrating UAV thermal technologies into agricultural practices and achieving robust and spatially explicit information on crop water status for the improved management of farming landscapes.","Systematic review of UAV-based thermal remote sensing for crop water status, using bibliometric data and recent literature trends to assess progress, challenges, and opportunities.","Reviewed literature shows strong potential for UAV thermal remote sensing, but major research gaps remain, especially in the global south. Most studies focused on canopy temperature, while other crop water-related indicators were underexplored.","UAV thermal remote sensing is an innovative, high-resolution, near-real-time tool for crop water status assessment. Key limitations are significant research gaps and limited attention to non-canopy-temperature indicators."
"","https://doi.org/10.1109/InCoWoCo64194.2024.10863624","2-s2.0-85218335868","2024-01","No","Abstract","Precision Agriculture: Improving Water Stress Forecasting in Tomato Plants Using Bioristor Data and Advanced ML Techniques","The water stress in crops, especially tomato plants, is highly challenging to yields and qualities. This study involves improving the forecasting of water stress by using Bioristor sensor information combined with advanced machine learning models. Bioristor sensors capture ion concentration changes in plant saps; hence very crucial real-time data. We developed models such as RNN, LSTM, Bi-GRU, and ARIMA, for predictions and time series forecasting. We applied the models on classification with Decision Trees as well as Random Forest. The performance of the model was measured using applications in accuracy, precision, recall, and confusion matrix analysis metrics, when predicting 1 and 24 hours in advance, using classifications of 2-state (stressed vs. not stressed) and 4-state (healthy, stressed, uncertain, recovery). Our results suggest promising accuracy for the prediction of water-stress conditions, offering a framework which may be applied in real-world precision agriculture to optimize strategies for water management.","Study used Bioristor sensor data from tomato plants and compared RNN, LSTM, Bi-GRU, ARIMA, Decision Trees, and Random Forest for forecasting water stress 1 and 24 hours ahead under 2-state and 4-state classifications.","Models were evaluated with accuracy, precision, recall, and confusion matrix metrics; results showed promising accuracy for predicting water-stress conditions.","The approach offers a framework for real-world precision agriculture to improve water management, but the abstract provides no specific limitations."
"","https://doi.org/10.1007/s40808-025-02607-5","2-s2.0-105021060139","2026-01","No","Abstract","Machine learning approaches for soil moisture prediction: enhancing agricultural water management with integrated data","Effective soil moisture prediction is essential for precision agriculture, enabling optimised irrigation scheduling and sustainable water management. This study investigates the predictive performance of various machine learning (ML) models for soil moisture at two depths (0–30 cm and 0–100 cm) using integrated datasets of climate variables, soil properties, and leaf area index (LAI). We tested models including Random Forest (RF), XGBoost, Support Vector Regression (SVR), and Gaussian Process Regression (GPR), alongside traditional models such as Partial Least Squares (PLS) and Multiple Linear Regression (MLR). The RF and XGBoost models provided the highest accuracy among all the models tested, with the RF model yielding an NSE of 0.81 and R2 of 0.84 at 0–30 cm depth. Notably, RF seemed to perform reasonably well even when forced to rely solely on climate data inputs, with NSE values above 0.75, a performance supporting the robustness of the models in data-scarce conditions. The study further shows that ensemble ML models are better at capturing nonlinear interactions among soil, climate, and crop factors compared to traditional models, by up to 25% improvement in NSE. Soil depth was found to be one of the main factors that influence model performance. The highest prediction accuracy was recorded at shallower depths, which points toward its sensitivity to the dynamics of moisture content within the root zone. Similarly, the feature importance analysis has identified LAI and organic matter in the soil as critical predictors. These findings underline the potential of the use of ensemble ML models in operational soil moisture monitoring in agriculture as a scalable approach to improved water-use efficiency with sustained variable climate conditions.","Comparative ML study using integrated climate, soil, and LAI data to predict soil moisture at 0–30 cm and 0–100 cm depths. Models tested included RF, XGBoost, SVR, GPR, PLS, and MLR.","RF and XGBoost had the highest accuracy; RF achieved NSE 0.81 and R2 0.84 at 0–30 cm. Ensemble ML improved NSE by up to 25% over traditional models, and RF kept NSE above 0.75 using only climate inputs.","Ensemble ML models are effective for operational soil moisture monitoring and water-use efficiency, especially at shallower depths. LAI and soil organic matter were key predictors, but performance varied with soil depth and climate conditions."
"","https://doi.org/10.3390/rs17142397","2-s2.0-105011859176","2025-07","Yes","Abstract","Soil Moisture Prediction Using Remote Sensing and Machine Learning Algorithms: A Review on Progress, Challenges, and Opportunities","Machine learning (ML) has gained significant attention for unraveling the complex, nonlinear relationships between soil moisture (SM) and various predictive variables, including remote sensing (RS; reflectance, brightness temperature, backscatter coefficients) and biophysical (topographic, soil, vegetation, and weather) variables. We reviewed the literature to extract and synthesize ML algorithms, reliable input features, and challenges in SM estimation using RS data. We analyzed results from 144 articles published from 2010 to 2024. Random forest (40 out of 67 studies), support vector regressor (13 out of 39 studies), and artificial neural networks (12 out of 27 studies) often outperformed other algorithms to estimate SM using RS datasets. Multi-source RS data often outperformed single-source data in SM estimation. Satellite-derived features, such as vegetation indices and backscattering coefficients, provided critical information on surface SM (SSM) variability to estimate SSM. For root zone SM estimation, soil properties and SSM generally were more reliable predictors than surface information derived solely from RS. Two recent advances—the use of semi-empirical models and L-band SAR to mitigate vegetation effects, and transfer learning to improve model transferability—have shown promise in addressing key challenges in SM estimation.","Narrative review synthesizing machine learning algorithms, input features, and challenges for soil moisture estimation using remote sensing data; analyzed findings from 144 articles published from 2010 to 2024.","Random forest, support vector regressor, and artificial neural networks often outperformed other algorithms. Multi-source remote sensing data and satellite-derived vegetation indices/backscatter features improved surface soil moisture estimation, while soil properties and surface soil moisture were better predictors for root zone soil moisture.","Semi-empirical models, L-band SAR, and transfer learning show promise for addressing vegetation effects and model transferability. The review highlights ongoing challenges in soil moisture estimation from remote sensing data."
"S0168169920313016","https://doi.org/10.1016/j.compag.2020.105801","2-s2.0-85096171855","2021-01","No","Full Text","Neural network soil moisture model for irrigation scheduling","Real-time irrigation scheduling systems attempt to eliminate crop water stress and achieve a high yield at harvest through the control of soil moisture. Artificial intelligence algorithms are possibly to learn the soil moisture dynamics in the soil-plant-atmosphere system and then are embedded into a low-cost controller to generate appropriate irrigation schedules. In this study, a neural network (NN) model was proposed to learn from a process-based agricultural systems model, the Root Zone Water Quality Model (RZWQM2) in predicting the root zone soil moisture during the crop growing season. Climatic data, rooting depth and hesternal soil moisture are set as inputs of the NN model to predict intraday soil moisture in different layers. Conditions with and without water supply are modeled separately to achieve a higher accuracy. The NN-based irrigation scheduling method (NN method), triggers irrigation when the predicted soil moisture drops to a level defined by the product of management-allowed depletion multiplied by the depth of available water to plant. Irrigation quantity was set to replenish the root zone soil water content to field capacity. NN method was compared with the reported water stress (WS) method based on RZWQM2. The results reveal that though the constructed NN model well-predicted soil moisture changes during the main crop season with minor errors, but the error was larger at lower soil moisture thereby decreased the scheduling efficiency. An NN ensemble model was tested and shown to improve the precision and robustness of soil moisture prediction as well as the scheduling performance in view of water conservation and yield maintenance. Combined with the NN ensemble model and adjusted lowest soil moisture for triggering irrigations, the NN ensemble-based irrigation scheduling method achieved a performance not better than that of the RZWQM2-WS method but exceeded the method based on evapotranspiration and water balance by up to 20%. The constructed NN ensemble model and NN ensemble-based irrigation scheduling method could act as an alternative to predicting soil moisture and obtaining efficient irrigation scheduling.","Neural network irrigation-scheduling study using a calibrated RZWQM2 process-based model to generate training data from a 3-year Colorado corn field dataset. Separate water-consuming and water-supplying multilayer perceptrons were trained for seven soil layers and evaluated against the RZWQM2 water-stress method.","The NN model predicted continuous soil moisture well, with R2 above 0.92 and NMBE, NMAE, and NRMSE within 8%. The NN ensemble improved robustness and could save up to 20% irrigation water versus ET-WB, but performance was generally similar to RZWQM2-WS and sometimes caused yield loss or extra water use.","The NN model can predict soil moisture and support real-time irrigation scheduling, but robustness is limited and scheduling depends on prediction accuracy. The NN ensemble with a higher triggering threshold can conserve water while maintaining yield versus ET-WB, though it does not surpass the WS method."
"S2772375526003989","https://doi.org/10.1016/j.atech.2026.102178","2-s2.0-105038675079","2026-08","Yes","Full Text","Transferable field-scale daily soil moisture forecasting in cotton with a minimal-input LSTM for irrigation scheduling","Accurate daily, field-scale soil moisture forecasts are essential for data-driven irrigation scheduling, yet machine learning–based operational frameworks for this task remain limited. Using cotton field measurements and on-farm weather data from 2023 (training/validation) and an independent 2024 season (transfer learning), we benchmarked random forest (RF), XGBoost, support vector machine (SVM), and long short-term memory (LSTM) for sequential soil moisture prediction. Among these, LSTM consistently achieved the highest accuracy, capturing temporal dependencies that traditional machine learning models could not. Feature importance analysis identified precipitation, solar radiation, and vapor pressure as the three dominant drivers. A minimal-input LSTM trained with these three drivers maintained near-baseline performance (R2=0.95). Transfer learning of the minimal-input LSTM model to an independent 2024 growing season data showed moderate predictive skill via fine-tuning (R2=0.56). The operational deployment of this compact LSTM model enabled field-scale irrigation scheduling using a simple soil moisture threshold, which could be enhanced by hysteresis, short-memory smoothing, and water balance checks. The results show that: (i) sequence-based LSTM architectures are robust for daily, field-scale soil moisture forecasting, (ii) a compact, physically informed driver set (precipitation–radiation–vapor pressure) maintains high model accuracy with low data requirements, and (iii) forecasts can be directly translated into clear irrigation decisions. The approach provides an interpretable and scalable framework that links machine learning models with practical water management and offers a low-burden, high-accuracy workflow for precision irrigation in sandy soils.","Field experiment in two cotton fields at the University of Georgia Tifton Campus using 2023 data for training/validation and 2024 data for transfer learning. RF, XGBoost, SVM, and a 2-layer LSTM were benchmarked with temporal splits, permutation importance, and progressive-unfreezing transfer learning.","LSTM outperformed RF, XGBoost, and SVM on the basic set (test R²=0.96 vs 0.77, 0.70, 0.61). The minimal 3-driver LSTM retained high 2023 performance (R²=0.95) and transfer learning improved 2024 performance from R²=-10.95 to 0.56.","A compact, physically informed LSTM was the most accurate and robust approach for daily field-scale soil moisture forecasting and irrigation scheduling. Generalization across seasons was only partial, and the authors note that multi-year, multi-site validation is still needed."
"S0378377424000453","https://doi.org/10.1016/j.agwat.2024.108710","2-s2.0-85184661704","2024-04","Yes","Full Text","Application of machine learning approaches in supporting irrigation decision making: A review","Irrigation decision-making has evolved from solely depending on farmers’ decisions taken based on the visual analysis of field conditions to making decisions based on crop water need predictions generated using machine learning (ML) techniques. This paper reviews ML related articles to discuss how ML has been used to enhance irrigation decision making. We reviewed 16 studies that used ML approaches for irrigation scheduling prediction and decision-making focusing on the input features, algorithms used and their applicability in real world conditions. ML performances in terms of accuracy, water conservation compared to fixed or threshold-based methods are discussed along with modeling performances. Informed by the 16 research studies, we assessed constraints to the adoption of ML in irrigation decision making at field scale, which include limited data availability coupled with data sharing constraints, and a lack of uncertainty quantification as well as the need for physics informed ML based irrigation scheduling models. To address these limitations, we discussed approaches in future research such as integrating process-based models with ML, incorporating expert knowledge into the modeling procedure, and making data and tools Findable, Accessible, Interoperable, and Reusable (FAIR). These approaches will improve ML modeling outcomes and boost the availability of farm-related data and tools for FAIRer data-driven applications of irrigation modeling.","Narrative review of ML applications in irrigation decision-making; 56 publications were screened and 16 studies were selected for detailed synthesis. The review focused on input features, algorithms, real-world applicability, performance, limitations, and physics-guided ML.","Across the 16 reviewed studies, ML generally improved irrigation scheduling, water-use efficiency, and prediction accuracy over fixed or threshold-based methods. Reported gains included RMSE improvements, water savings above 20%, 23 mm less water use, 43% and 23% savings in one system, and up to 92.7%–95% accuracy for some models.","ML shows strong promise for irrigation decision-making, but broader adoption requires more data, uncertainty quantification, explainability, expert knowledge integration, and FAIR/open tools. Key limitations are field-scale data scarcity, limited validation in real farms, and poor handling of uncertainty and nonlinearity in some models."
"","https://doi.org/10.3390/drones9040241","2-s2.0-105003535829","2025-04","Yes","Abstract","Remote Sensing Using Unmanned Aerial Vehicles for Water Stress Detection: A Review Focusing on Specialty Crops","This review evaluates the use of unmanned aerial vehicles (UAVs) in detecting and managing water stress in specialty crops through thermal, multispectral, and hyperspectral imaging. Based on 104 scholarly articles from 2012 to 2024, the review highlights the advantages, limitations, and evolution of these imaging systems. Vineyards are the most studied crops for precision irrigation compared to other crops. The paper traces the shift from standalone imaging to multi-sensor fusion approaches, integrating vegetation indices and machine learning models for improved accuracy, resolution, and real-time stress assessment. It also addresses knowledge gaps such as scalability, payload constraints, and computational demands. Issues like flight altitude, sensor angle, and lighting conditions can lead to data inconsistencies, affecting water stress detection and decision-making. Emerging technologies like LiDAR, AI, and machine learning are proposed to enhance UAV data processing and stress detection. Future research should focus on developing automated data correction, multi-sensor fusion, and AI-driven real-time analysis to address sensor calibration and environmental factors. The review also advocates for integrating UAV data with satellite and ground sensors into smart irrigation systems to create a multi-scale monitoring framework, thereby advancing precision agriculture and water resource management.","Review of 104 scholarly articles (2012-2024) on UAV thermal, multispectral, and hyperspectral imaging for water stress detection in specialty crops. The review emphasizes multi-sensor fusion, vegetation indices, and machine learning approaches.","Vineyards were the most studied specialty crops, and the literature shows a shift from standalone imaging to multi-sensor fusion for better accuracy, resolution, and real-time stress assessment. Key limitations include scalability, payload constraints, computational demands, and inconsistencies from flight altitude, sensor angle, and lighting.","UAV sensing can improve precision irrigation and water stress detection in specialty crops, but automated correction, multi-sensor fusion, and AI-driven real-time analysis are needed. Integration with satellite and ground sensors is recommended for multi-scale smart irrigation systems."
"S2212096325000725","https://doi.org/10.1016/j.crm.2025.100758","2-s2.0-105025947502","2025-01","Yes","Full Text","A review on machine learning models for drought monitoring and forecasting","Drought, driven by shifting climate patterns, increasingly threatens hydropower, agriculture, and water supply systems, necessitating robust early detection and forecasting frameworks. This review critically examines recent machine learning (ML) approaches to drought prediction, focusing on meteorological, hydrological, and agricultural drought types across diverse temporal and spatial scales. We analyze the influence of input variables, such as precipitation, streamflow, climate indices, and remote sensing data, on model performance, and identify key trends including the rise of hybrid and deep learning models for capturing nonlinear dependencies and long-term patterns. Unique contributions include a comparative evaluation of model interpretability, scalability, and data requirements, as well as the identification of persistent gaps such as limited regional transferability and underrepresentation of socio-environmental factors. By proposing a framework for selecting optimal models based on data availability, complexity, and operational constraints, this review offers actionable insights for researchers and policymakers seeking to develop adaptive, context-aware drought mitigation strategies that ensure long-term water sustainability.","Narrative review of ML-based drought forecasting studies from January 2000 to June 2025, using a five-step framework with source curation, analytical mapping, knowledge structuring, and critical reflection. Included studies had to be English-language ML/deep learning/hybrid models reporting at least one quantitative metric.","Across meteorological, hydrological, and agricultural drought studies, hybrid and deep learning models often outperformed standalone models, with input variables and lead time strongly affecting performance. Reported results highlighted improved accuracy from lagged indices, atmospheric drivers, and preprocessing such as wavelet transform, but also noted regional specificity and data limitations.","ML models are effective for drought monitoring and forecasting, especially when model choice matches data availability, drought type, and timescale. Key limitations are limited transferability, data scarcity and bias, low interpretability, and the need for better uncertainty quantification and explainable AI."
"","https://doi.org/10.1007/s11119-025-10239-z","2-s2.0-105002706003","2025-06","No","Abstract","Integrating UAV-based multispectral and thermal infrared imageries with machine learning for predicting water stress in winter wheat","Assessing spatial and temporal variations in crop water stress is vital for precision irrigation. This study utilized Unmanned Aerial Vehicles (UAVs) equipped with multispectral (MSS) and thermal band (TB) sensors to map the crop water stress index (CWSI) in wheat. A water deficit experiment was conducted on winter wheat under varying irrigation levels during late vegetative, reproductive, and maturation stages. CWSI was calculated using canopy temperature, ambient air temperature, and vapor pressure deficit (VPD). Six machine learning (ML) models—linear model (LM), random forest (RF), decision tree (DT), support vector machine (SVM), extreme gradient boosting (XGB), and artificial neural network (ANN)—were developed for pre-heading, post-heading, and seasonal datasets. The top five vegetation indices (VIs), selected using Recursive Feature Elimination (RFE), along with thermal data, were used as inputs to the ML models. Results showed that seasonal ML models outperformed those based only on pre-heading or post-heading data. Particularly, the RF model performed well, with respective R² and RMSE values of 0.87 and 0.09 for seasonal, 0.82 and 0.05 for pre-heading, and 0.93 and 0.06 for post-heading datasets. SHapley Additive exPlanations (SHAP) analysis identified Red Normalized Value (RNV), TB, and Green Red Vegetation Index (GRVI) as key predictors of CWSI in the RF model. CWSI maps effectively captured spatial variations in water stress, aligning with irrigation management practices. This study demonstrates the effectiveness of combining UAV remote sensing and ML for precision irrigation management.","UAV-based multispectral and thermal infrared imaging was used in a winter wheat water-deficit experiment across late vegetative, reproductive, and maturation stages. Six machine learning models were trained on top five vegetation indices selected by recursive feature elimination plus thermal data for pre-heading, post-heading, and seasonal datasets.","Seasonal models outperformed pre-heading and post-heading models. RF achieved R²/RMSE of 0.87/0.09 for seasonal, 0.82/0.05 for pre-heading, and 0.93/0.06 for post-heading datasets; SHAP identified RNV, TB, and GRVI as key predictors.","UAV remote sensing combined with machine learning effectively predicted crop water stress and produced maps aligned with irrigation management. The study supports this approach for precision irrigation management."
