base,cadena,fecha_ejecucion,eje,cantidad_resultados,observaciones
scopus,"TITLE-ABS-KEY((""water stress"" OR ""drought stress"" OR ""soil moisture"") AND (""machine learning"" OR ""deep learning"" OR ""predictive model"" OR ""time series forecasting"") AND (""crop"" OR ""horticultur*"" OR ""irrigation""))",2026-09-05,1,12,"Export real en docs/research/exports/scopus/eje1_modelado_predictivo.csv. Formato de export sin columnas Autores/Titulo explicitas; Titulo tomado del campo Source, Autores/Revista/Tipo enriquecidos via Crossref por DOI (ver hallazgo de metadatos en el reporte)."
scopus,"TITLE-ABS-KEY((""soil moisture"" OR ""crop"" OR ""agricultur*"") AND (""anomaly detection"" OR ""outlier detection"" OR ""faulty sensor"" OR ""rogue sensor"") AND (""sensor"" OR ""time series""))",2026-09-05,2,13,"Export real en docs/research/exports/scopus/eje2_deteccion_anomalias.csv. 2 DOI no resuelven en Crossref (404) - sin autores/revista para esos 2 registros."
scopus,"TITLE-ABS-KEY((""soil moisture"" OR ""crop"" OR ""agricultur*"") AND (""synthetic data"" OR ""data augmentation"" OR ""data generation"") AND (""sensor"" OR ""time series"" OR ""data scarcity""))",2026-09-05,3,6,"Export real en docs/research/exports/scopus/eje3_datos_sinteticos.csv. 1 registro sin DOI en el export original."
scopus,"TITLE-ABS-KEY((""human feedback"" OR ""human-in-the-loop"" OR ""active learning"" OR ""model recalibration"") AND (""machine learning"" OR ""predictive model"") AND (""agricultur*"" OR ""environmental monitoring"" OR ""sensor""))",2026-09-05,4,28,Export real en docs/research/exports/scopus/eje4_feedback_recalibracion.csv.
ieee,"(""Full Text & Metadata"":""water stress"" OR ""Full Text & Metadata"":""soil moisture"") AND (""Full Text & Metadata"":""machine learning"" OR ""Full Text & Metadata"":""deep learning"") AND (""Full Text & Metadata"":""crop"" OR ""Full Text & Metadata"":""irrigation"")",2026-09-05,1,12,Export real en docs/research/exports/ieee/eje1_modelado_predictivo.csv. Metadatos completos (titulo/autores/anio/DOI/abstract/keywords).
ieee,"(""Full Text & Metadata"":""soil moisture"" OR ""Full Text & Metadata"":""agriculture"") AND (""Full Text & Metadata"":""anomaly detection"" OR ""Full Text & Metadata"":""faulty sensor"")",2026-09-05,2,16,Export real en docs/research/exports/ieee/eje2_deteccion_anomalias.csv.
ieee,"(""Full Text & Metadata"":""soil moisture"" OR ""Full Text & Metadata"":""agriculture"") AND (""Full Text & Metadata"":""synthetic data"" OR ""Full Text & Metadata"":""data augmentation"")",2026-09-05,3,285,"Export real en docs/research/exports/ieee/eje3_datos_sinteticos.csv. Cantidad muy superior a los otros ejes; el analisis de titulo/resumen encontro resultados de dominios claramente ajenos a agricultura (imagenologia medica, seguridad de redes, ~10 casos excluidos por regla de dominio espurio), lo que sugiere que la cadena efectivamente ejecutada en la interfaz fue mas amplia que la documentada en el protocolo (posiblemente sin la tercera clausula sensor/time series/data scarcity aplicada estrictamente)."
ieee,"(""Full Text & Metadata"":""human-in-the-loop"" OR ""Full Text & Metadata"":""human feedback"" OR ""Full Text & Metadata"":""active learning"") AND (""Full Text & Metadata"":""machine learning"")",2026-09-05,4,9,Export real en docs/research/exports/ieee/eje4_feedback_recalibracion.csv.
wos,,,,,"No ejecutada: acceso institucional disponible permite busqueda de perfiles de investigadores, pero no Document Search/Core Collection (intento 2026-09-05, ver docs/research/hu1-protocolo-revision-bibliografica.md seccion 3)."
crossref,"query.bibliographic=soil moisture water stress crop machine learning predictive model irrigation (filter from-pub-date:2019-01-01,until-pub-date:2026-12-31)",2026-09-06,1,20,"Busqueda complementaria automatizada via API publica de Crossref (api.crossref.org), sin PDF ni descarga masiva. 13 de 20 resultados eran candidatos nuevos (no en Scopus/IEEE) y pasaron el cribado (>=2/3 clausulas del eje); incorporados marcados como candidatos, no confirmados manualmente."
crossref,"query.bibliographic=soil moisture agriculture anomaly detection outlier faulty sensor (filter from-pub-date:2019-01-01,until-pub-date:2026-12-31)",2026-09-06,2,20,"Idem metodologia. 4 nuevos incorporados como candidatos para eje 2 (mas 6 adicionales que resultaron multi-eje 2;3, contados una sola vez)."
crossref,"query.bibliographic=soil moisture agriculture synthetic data augmentation sensor scarcity (filter from-pub-date:2019-01-01,until-pub-date:2026-12-31)",2026-09-06,3,20,"Idem metodologia. 8 nuevos incorporados como candidatos para eje 3 (mas los 6 multi-eje 2;3 ya contados en eje 2)."
crossref,"query.bibliographic=human feedback human-in-the-loop active learning model recalibration agriculture sensor (filter from-pub-date:2019-01-01,until-pub-date:2026-12-31)",2026-09-06,4,20,"Idem metodologia. Solo 2 nuevos incorporados; 1 registro excluido por ser objeto de revision por pares (DOI Copernicus -rc2, comentario de referee, no articulo primario)."
openalex,"search=soil moisture water stress crop machine learning predictive model irrigation (filter from_publication_date:2019-01-01,to_publication_date:2026-12-31)",2026-09-06,1,20,"Busqueda complementaria automatizada via API publica de OpenAlex (api.openalex.org). 11 de 20 resultados eran candidatos nuevos y pasaron el cribado, incorporados como candidatos."
openalex,"search=soil moisture agriculture anomaly detection outlier faulty sensor (filter from_publication_date:2019-01-01,to_publication_date:2026-12-31)",2026-09-06,2,20,"Idem metodologia. 10 nuevos incorporados como candidatos para eje 2 (mas 1 adicional multi-eje 2;4)."
